,file_name,breed_name,type,sample_count
147,n02085782_1267,Japanese_spaniel,train,185.0
148,n02085782_2640,Japanese_spaniel,train,185.0
149,n02085782_3499,Japanese_spaniel,train,185.0
150,n02085782_2690,Japanese_spaniel,train,185.0
151,n02085782_2939,Japanese_spaniel,train,185.0
152,n02085782_845,Japanese_spaniel,train,185.0
153,n02085782_1691,Japanese_spaniel,train,185.0
154,n02085782_28,Japanese_spaniel,train,185.0
155,n02085782_2241,Japanese_spaniel,train,185.0
156,n02085782_1890,Japanese_spaniel,train,185.0
157,n02085782_2345,Japanese_spaniel,train,185.0
158,n02085782_2874,Japanese_spaniel,train,185.0
159,n02085782_385,Japanese_spaniel,train,185.0
160,n02085782_3516,Japanese_spaniel,train,185.0
161,n02085782_1085,Japanese_spaniel,train,185.0
162,n02085782_2074,Japanese_spaniel,train,185.0
163,n02085782_1460,Japanese_spaniel,train,185.0
164,n02085782_3331,Japanese_spaniel,train,185.0
165,n02085782_1750,Japanese_spaniel,train,185.0
166,n02085782_1156,Japanese_spaniel,train,185.0
167,n02085782_962,Japanese_spaniel,train,185.0
168,n02085782_2010,Japanese_spaniel,train,185.0
169,n02085782_126,Japanese_spaniel,train,185.0
170,n02085782_698,Japanese_spaniel,train,185.0
171,n02085782_3325,Japanese_spaniel,train,185.0
172,n02085782_757,Japanese_spaniel,train,185.0
173,n02085782_1284,Japanese_spaniel,train,185.0
174,n02085782_2655,Japanese_spaniel,train,185.0
175,n02085782_806,Japanese_spaniel,train,185.0
176,n02085782_2886,Japanese_spaniel,train,185.0
177,n02085782_2428,Japanese_spaniel,train,185.0
178,n02085782_866,Japanese_spaniel,train,185.0
179,n02085782_664,Japanese_spaniel,train,185.0
180,n02085782_2323,Japanese_spaniel,train,185.0
181,n02085782_1855,Japanese_spaniel,train,185.0
182,n02085782_2584,Japanese_spaniel,train,185.0
183,n02085782_186,Japanese_spaniel,train,185.0
184,n02085782_1656,Japanese_spaniel,train,185.0
185,n02085782_626,Japanese_spaniel,train,185.0
186,n02085782_3071,Japanese_spaniel,train,185.0
187,n02085782_2250,Japanese_spaniel,train,185.0
188,n02085782_4564,Japanese_spaniel,train,185.0
189,n02085782_3966,Japanese_spaniel,train,185.0
190,n02085782_1848,Japanese_spaniel,train,185.0
191,n02085782_3031,Japanese_spaniel,train,185.0
192,n02085782_3148,Japanese_spaniel,train,185.0
193,n02085782_1077,Japanese_spaniel,train,185.0
194,n02085782_440,Japanese_spaniel,train,185.0
195,n02085782_1059,Japanese_spaniel,train,185.0
196,n02085782_3781,Japanese_spaniel,train,185.0
197,n02085782_3899,Japanese_spaniel,train,185.0
198,n02085782_4511,Japanese_spaniel,train,185.0
199,n02085782_2914,Japanese_spaniel,train,185.0
200,n02085936_3863,Maltese_dog,train,252.0
201,n02085936_3677,Maltese_dog,train,252.0
202,n02085936_8224,Maltese_dog,train,252.0
203,n02085936_20313,Maltese_dog,train,252.0
204,n02085936_1288,Maltese_dog,train,252.0
205,n02085936_233,Maltese_dog,train,252.0
206,n02085936_4245,Maltese_dog,train,252.0
207,n02085936_7537,Maltese_dog,train,252.0
208,n02085936_10273,Maltese_dog,train,252.0
209,n02085936_6514,Maltese_dog,train,252.0
210,n02085936_338,Maltese_dog,train,252.0
211,n02085936_24178,Maltese_dog,train,252.0
212,n02085936_2832,Maltese_dog,train,252.0
213,n02085936_461,Maltese_dog,train,252.0
214,n02085936_7142,Maltese_dog,train,252.0
215,n02085936_2203,Maltese_dog,train,252.0
216,n02085936_2636,Maltese_dog,train,252.0
217,n02085936_6424,Maltese_dog,train,252.0
218,n02085936_19558,Maltese_dog,train,252.0
219,n02085936_6464,Maltese_dog,train,252.0
220,n02085936_5596,Maltese_dog,train,252.0
221,n02085936_5012,Maltese_dog,train,252.0
222,n02085936_16190,Maltese_dog,train,252.0
223,n02085936_1244,Maltese_dog,train,252.0
224,n02085936_6942,Maltese_dog,train,252.0
225,n02085936_7442,Maltese_dog,train,252.0
226,n02085936_4271,Maltese_dog,train,252.0
227,n02085936_2905,Maltese_dog,train,252.0
228,n02085936_9481,Maltese_dog,train,252.0
229,n02085936_14432,Maltese_dog,train,252.0
230,n02085936_2135,Maltese_dog,train,252.0
231,n02085936_9088,Maltese_dog,train,252.0
232,n02085936_126,Maltese_dog,train,252.0
233,n02085936_4257,Maltese_dog,train,252.0
234,n02085936_11744,Maltese_dog,train,252.0
235,n02085936_2154,Maltese_dog,train,252.0
236,n02085936_4569,Maltese_dog,train,252.0
237,n02085936_137,Maltese_dog,train,252.0
238,n02085936_1556,Maltese_dog,train,252.0
239,n02085936_4351,Maltese_dog,train,252.0
240,n02085936_6927,Maltese_dog,train,252.0
241,n02085936_8417,Maltese_dog,train,252.0
242,n02085936_10073,Maltese_dog,train,252.0
243,n02085936_9590,Maltese_dog,train,252.0
244,n02085936_4929,Maltese_dog,train,252.0
245,n02085936_8756,Maltese_dog,train,252.0
246,n02085936_6405,Maltese_dog,train,252.0
247,n02085936_3394,Maltese_dog,train,252.0
248,n02085936_16355,Maltese_dog,train,252.0
249,n02085936_5010,Maltese_dog,train,252.0
250,n02085936_3292,Maltese_dog,train,252.0
251,n02085936_771,Maltese_dog,train,252.0
252,n02085936_4474,Maltese_dog,train,252.0
253,n02085936_17059,Maltese_dog,train,252.0
254,n02085936_3391,Maltese_dog,train,252.0
255,n02085936_544,Maltese_dog,train,252.0
256,n02085936_20102,Maltese_dog,train,252.0
257,n02085936_7515,Maltese_dog,train,252.0
258,n02085936_5545,Maltese_dog,train,252.0
259,n02085936_17631,Maltese_dog,train,252.0
260,n02085936_2889,Maltese_dog,train,252.0
261,n02085936_4490,Maltese_dog,train,252.0
262,n02085936_10307,Maltese_dog,train,252.0
263,n02085936_8365,Maltese_dog,train,252.0
264,n02085936_2927,Maltese_dog,train,252.0
265,n02085936_4608,Maltese_dog,train,252.0
266,n02085936_3315,Maltese_dog,train,252.0
267,n02085936_17116,Maltese_dog,train,252.0
268,n02085936_10646,Maltese_dog,train,252.0
269,n02085936_21320,Maltese_dog,train,252.0
270,n02085936_5582,Maltese_dog,train,252.0
271,n02085936_2422,Maltese_dog,train,252.0
272,n02085936_4188,Maltese_dog,train,252.0
273,n02085936_2627,Maltese_dog,train,252.0
274,n02085936_8900,Maltese_dog,train,252.0
275,n02085936_8248,Maltese_dog,train,252.0
276,n02085936_10148,Maltese_dog,train,252.0
277,n02085936_4318,Maltese_dog,train,252.0
278,n02085936_18640,Maltese_dog,train,252.0
279,n02085936_3470,Maltese_dog,train,252.0
280,n02085936_7394,Maltese_dog,train,252.0
281,n02085936_517,Maltese_dog,train,252.0
282,n02085936_7865,Maltese_dog,train,252.0
283,n02085936_6650,Maltese_dog,train,252.0
284,n02085936_1390,Maltese_dog,train,252.0
285,n02085936_1549,Maltese_dog,train,252.0
286,n02085936_8745,Maltese_dog,train,252.0
287,n02085936_16565,Maltese_dog,train,252.0
288,n02085936_3698,Maltese_dog,train,252.0
289,n02085936_8507,Maltese_dog,train,252.0
290,n02085936_7272,Maltese_dog,train,252.0
291,n02085936_797,Maltese_dog,train,252.0
292,n02085936_8616,Maltese_dog,train,252.0
293,n02085936_6569,Maltese_dog,train,252.0
294,n02085936_9632,Maltese_dog,train,252.0
295,n02085936_2465,Maltese_dog,train,252.0
296,n02085936_5250,Maltese_dog,train,252.0
297,n02085936_10610,Maltese_dog,train,252.0
298,n02085936_10377,Maltese_dog,train,252.0
299,n02085936_2167,Maltese_dog,train,252.0
300,n02086079_11664,Pekinese,train,149.0
301,n02086079_16268,Pekinese,train,149.0
302,n02086079_5522,Pekinese,train,149.0
303,n02086079_4984,Pekinese,train,149.0
304,n02086079_17291,Pekinese,train,149.0
305,n02086079_18899,Pekinese,train,149.0
306,n02086079_17686,Pekinese,train,149.0
307,n02086079_347,Pekinese,train,149.0
308,n02086079_6180,Pekinese,train,149.0
309,n02086079_10689,Pekinese,train,149.0
310,n02086079_8204,Pekinese,train,149.0
311,n02086079_380,Pekinese,train,149.0
312,n02086079_2893,Pekinese,train,149.0
313,n02086079_14748,Pekinese,train,149.0
314,n02086079_1020,Pekinese,train,149.0
315,n02086079_7959,Pekinese,train,149.0
316,n02086079_9151,Pekinese,train,149.0
317,n02086079_2933,Pekinese,train,149.0
318,n02086079_10294,Pekinese,train,149.0
319,n02086079_6712,Pekinese,train,149.0
320,n02086079_16313,Pekinese,train,149.0
321,n02086079_1820,Pekinese,train,149.0
322,n02086079_21117,Pekinese,train,149.0
323,n02086079_4843,Pekinese,train,149.0
324,n02086079_10373,Pekinese,train,149.0
325,n02086079_2935,Pekinese,train,149.0
326,n02086079_18764,Pekinese,train,149.0
327,n02086079_10627,Pekinese,train,149.0
328,n02086079_3149,Pekinese,train,149.0
329,n02086079_869,Pekinese,train,149.0
330,n02086079_6243,Pekinese,train,149.0
331,n02086079_4412,Pekinese,train,149.0
332,n02086079_8074,Pekinese,train,149.0
333,n02086079_952,Pekinese,train,149.0
334,n02086079_1877,Pekinese,train,149.0
335,n02086079_10613,Pekinese,train,149.0
336,n02086079_17983,Pekinese,train,149.0
337,n02086079_186,Pekinese,train,149.0
338,n02086079_2766,Pekinese,train,149.0
339,n02086079_2287,Pekinese,train,149.0
340,n02086079_8726,Pekinese,train,149.0
341,n02086079_17015,Pekinese,train,149.0
342,n02086079_13647,Pekinese,train,149.0
343,n02086079_14532,Pekinese,train,149.0
344,n02086079_22412,Pekinese,train,149.0
345,n02086079_19863,Pekinese,train,149.0
346,n02086079_7235,Pekinese,train,149.0
347,n02086079_5087,Pekinese,train,149.0
348,n02086079_9847,Pekinese,train,149.0
349,n02086079_5053,Pekinese,train,149.0
350,n02086079_10059,Pekinese,train,149.0
351,n02086079_6467,Pekinese,train,149.0
352,n02086079_5106,Pekinese,train,149.0
353,n02086079_8595,Pekinese,train,149.0
354,n02086079_606,Pekinese,train,149.0
355,n02086079_8127,Pekinese,train,149.0
356,n02086079_1759,Pekinese,train,149.0
357,n02086079_4456,Pekinese,train,149.0
358,n02086079_7302,Pekinese,train,149.0
359,n02086079_2368,Pekinese,train,149.0
360,n02086079_21103,Pekinese,train,149.0
361,n02086079_6096,Pekinese,train,149.0
362,n02086079_7769,Pekinese,train,149.0
363,n02086079_5125,Pekinese,train,149.0
364,n02086079_8902,Pekinese,train,149.0
365,n02086079_12321,Pekinese,train,149.0
366,n02086079_16693,Pekinese,train,149.0
367,n02086079_17886,Pekinese,train,149.0
368,n02086079_21987,Pekinese,train,149.0
369,n02086079_10615,Pekinese,train,149.0
370,n02086079_10603,Pekinese,train,149.0
371,n02086079_13897,Pekinese,train,149.0
372,n02086079_2073,Pekinese,train,149.0
373,n02086079_4355,Pekinese,train,149.0
374,n02086079_8229,Pekinese,train,149.0
375,n02086079_12125,Pekinese,train,149.0
376,n02086079_10159,Pekinese,train,149.0
377,n02086079_20762,Pekinese,train,149.0
378,n02086079_20360,Pekinese,train,149.0
379,n02086079_6956,Pekinese,train,149.0
380,n02086079_17103,Pekinese,train,149.0
381,n02086079_5590,Pekinese,train,149.0
382,n02086079_10932,Pekinese,train,149.0
383,n02086079_9408,Pekinese,train,149.0
384,n02086079_23100,Pekinese,train,149.0
385,n02086079_3402,Pekinese,train,149.0
386,n02086079_14307,Pekinese,train,149.0
387,n02086079_15979,Pekinese,train,149.0
388,n02086079_15871,Pekinese,train,149.0
389,n02086079_11089,Pekinese,train,149.0
390,n02086079_1451,Pekinese,train,149.0
391,n02086079_9756,Pekinese,train,149.0
392,n02086079_11684,Pekinese,train,149.0
393,n02086079_17564,Pekinese,train,149.0
394,n02086079_3174,Pekinese,train,149.0
395,n02086079_14929,Pekinese,train,149.0
396,n02086079_17205,Pekinese,train,149.0
397,n02086079_19690,Pekinese,train,149.0
398,n02086079_2358,Pekinese,train,149.0
399,n02086079_5197,Pekinese,train,149.0
400,n02086240_5696,Shih-Tzu,train,214.0
401,n02086240_1295,Shih-Tzu,train,214.0
402,n02086240_11085,Shih-Tzu,train,214.0
403,n02086240_789,Shih-Tzu,train,214.0
404,n02086240_5212,Shih-Tzu,train,214.0
405,n02086240_1205,Shih-Tzu,train,214.0
406,n02086240_1333,Shih-Tzu,train,214.0
407,n02086240_2211,Shih-Tzu,train,214.0
408,n02086240_1082,Shih-Tzu,train,214.0
409,n02086240_5443,Shih-Tzu,train,214.0
410,n02086240_1725,Shih-Tzu,train,214.0
411,n02086240_11959,Shih-Tzu,train,214.0
412,n02086240_1078,Shih-Tzu,train,214.0
413,n02086240_2254,Shih-Tzu,train,214.0
414,n02086240_6924,Shih-Tzu,train,214.0
415,n02086240_6587,Shih-Tzu,train,214.0
416,n02086240_12342,Shih-Tzu,train,214.0
417,n02086240_323,Shih-Tzu,train,214.0
418,n02086240_3719,Shih-Tzu,train,214.0
419,n02086240_2335,Shih-Tzu,train,214.0
420,n02086240_12315,Shih-Tzu,train,214.0
421,n02086240_4252,Shih-Tzu,train,214.0
422,n02086240_5627,Shih-Tzu,train,214.0
423,n02086240_11420,Shih-Tzu,train,214.0
424,n02086240_9467,Shih-Tzu,train,214.0
425,n02086240_6082,Shih-Tzu,train,214.0
426,n02086240_4013,Shih-Tzu,train,214.0
427,n02086240_11622,Shih-Tzu,train,214.0
428,n02086240_1859,Shih-Tzu,train,214.0
429,n02086240_4346,Shih-Tzu,train,214.0
430,n02086240_9098,Shih-Tzu,train,214.0
431,n02086240_5976,Shih-Tzu,train,214.0
432,n02086240_1259,Shih-Tzu,train,214.0
433,n02086240_4669,Shih-Tzu,train,214.0
434,n02086240_2710,Shih-Tzu,train,214.0
435,n02086240_4430,Shih-Tzu,train,214.0
436,n02086240_272,Shih-Tzu,train,214.0
437,n02086240_788,Shih-Tzu,train,214.0
438,n02086240_5546,Shih-Tzu,train,214.0
439,n02086240_5994,Shih-Tzu,train,214.0
440,n02086240_1874,Shih-Tzu,train,214.0
441,n02086240_5554,Shih-Tzu,train,214.0
442,n02086240_2705,Shih-Tzu,train,214.0
443,n02086240_1011,Shih-Tzu,train,214.0
444,n02086240_6032,Shih-Tzu,train,214.0
445,n02086240_61,Shih-Tzu,train,214.0
446,n02086240_3979,Shih-Tzu,train,214.0
447,n02086240_7110,Shih-Tzu,train,214.0
448,n02086240_7142,Shih-Tzu,train,214.0
449,n02086240_968,Shih-Tzu,train,214.0
450,n02086240_6833,Shih-Tzu,train,214.0
451,n02086240_6106,Shih-Tzu,train,214.0
452,n02086240_6882,Shih-Tzu,train,214.0
453,n02086240_963,Shih-Tzu,train,214.0
454,n02086240_6477,Shih-Tzu,train,214.0
455,n02086240_4776,Shih-Tzu,train,214.0
456,n02086240_6116,Shih-Tzu,train,214.0
457,n02086240_1142,Shih-Tzu,train,214.0
458,n02086240_3802,Shih-Tzu,train,214.0
459,n02086240_3582,Shih-Tzu,train,214.0
460,n02086240_6585,Shih-Tzu,train,214.0
461,n02086240_9429,Shih-Tzu,train,214.0
462,n02086240_1016,Shih-Tzu,train,214.0
463,n02086240_6269,Shih-Tzu,train,214.0
464,n02086240_3862,Shih-Tzu,train,214.0
465,n02086240_3175,Shih-Tzu,train,214.0
466,n02086240_415,Shih-Tzu,train,214.0
467,n02086240_8205,Shih-Tzu,train,214.0
468,n02086240_10785,Shih-Tzu,train,214.0
469,n02086240_6322,Shih-Tzu,train,214.0
470,n02086240_6898,Shih-Tzu,train,214.0
471,n02086240_4808,Shih-Tzu,train,214.0
472,n02086240_5140,Shih-Tzu,train,214.0
473,n02086240_1621,Shih-Tzu,train,214.0
474,n02086240_7954,Shih-Tzu,train,214.0
475,n02086240_447,Shih-Tzu,train,214.0
476,n02086240_1267,Shih-Tzu,train,214.0
477,n02086240_4127,Shih-Tzu,train,214.0
478,n02086240_7209,Shih-Tzu,train,214.0
479,n02086240_11766,Shih-Tzu,train,214.0
480,n02086240_12003,Shih-Tzu,train,214.0
481,n02086240_7349,Shih-Tzu,train,214.0
482,n02086240_11539,Shih-Tzu,train,214.0
483,n02086240_6819,Shih-Tzu,train,214.0
484,n02086240_5520,Shih-Tzu,train,214.0
485,n02086240_6222,Shih-Tzu,train,214.0
486,n02086240_6131,Shih-Tzu,train,214.0
487,n02086240_7978,Shih-Tzu,train,214.0
488,n02086240_30,Shih-Tzu,train,214.0
489,n02086240_1170,Shih-Tzu,train,214.0
490,n02086240_7299,Shih-Tzu,train,214.0
491,n02086240_1779,Shih-Tzu,train,214.0
492,n02086240_12650,Shih-Tzu,train,214.0
493,n02086240_7205,Shih-Tzu,train,214.0
494,n02086240_745,Shih-Tzu,train,214.0
495,n02086240_3254,Shih-Tzu,train,214.0
496,n02086240_3558,Shih-Tzu,train,214.0
497,n02086240_34,Shih-Tzu,train,214.0
498,n02086240_7123,Shih-Tzu,train,214.0
499,n02086240_3814,Shih-Tzu,train,214.0
500,n02086646_4077,Blenheim_spaniel,train,188.0
501,n02086646_3059,Blenheim_spaniel,train,188.0
502,n02086646_1447,Blenheim_spaniel,train,188.0
503,n02086646_2772,Blenheim_spaniel,train,188.0
504,n02086646_2114,Blenheim_spaniel,train,188.0
505,n02086646_2959,Blenheim_spaniel,train,188.0
506,n02086646_1150,Blenheim_spaniel,train,188.0
507,n02086646_3315,Blenheim_spaniel,train,188.0
508,n02086646_414,Blenheim_spaniel,train,188.0
509,n02086646_602,Blenheim_spaniel,train,188.0
510,n02086646_2613,Blenheim_spaniel,train,188.0
511,n02086646_982,Blenheim_spaniel,train,188.0
512,n02086646_1930,Blenheim_spaniel,train,188.0
513,n02086646_1673,Blenheim_spaniel,train,188.0
514,n02086646_3052,Blenheim_spaniel,train,188.0
515,n02086646_3806,Blenheim_spaniel,train,188.0
516,n02086646_2970,Blenheim_spaniel,train,188.0
517,n02086646_2430,Blenheim_spaniel,train,188.0
518,n02086646_593,Blenheim_spaniel,train,188.0
519,n02086646_471,Blenheim_spaniel,train,188.0
520,n02086646_946,Blenheim_spaniel,train,188.0
521,n02086646_3337,Blenheim_spaniel,train,188.0
522,n02086646_45,Blenheim_spaniel,train,188.0
523,n02086646_1182,Blenheim_spaniel,train,188.0
524,n02086646_3989,Blenheim_spaniel,train,188.0
525,n02086646_3234,Blenheim_spaniel,train,188.0
526,n02086646_2105,Blenheim_spaniel,train,188.0
527,n02086646_1077,Blenheim_spaniel,train,188.0
528,n02086646_1514,Blenheim_spaniel,train,188.0
529,n02086646_2347,Blenheim_spaniel,train,188.0
530,n02086646_4226,Blenheim_spaniel,train,188.0
531,n02086646_669,Blenheim_spaniel,train,188.0
532,n02086646_2498,Blenheim_spaniel,train,188.0
533,n02086646_1368,Blenheim_spaniel,train,188.0
534,n02086646_326,Blenheim_spaniel,train,188.0
535,n02086646_462,Blenheim_spaniel,train,188.0
536,n02086646_2160,Blenheim_spaniel,train,188.0
537,n02086646_567,Blenheim_spaniel,train,188.0
538,n02086646_801,Blenheim_spaniel,train,188.0
539,n02086646_3986,Blenheim_spaniel,train,188.0
540,n02086646_3256,Blenheim_spaniel,train,188.0
541,n02086646_2409,Blenheim_spaniel,train,188.0
542,n02086646_20,Blenheim_spaniel,train,188.0
543,n02086646_4199,Blenheim_spaniel,train,188.0
544,n02086646_2931,Blenheim_spaniel,train,188.0
545,n02086646_166,Blenheim_spaniel,train,188.0
546,n02086646_4220,Blenheim_spaniel,train,188.0
547,n02086646_3629,Blenheim_spaniel,train,188.0
548,n02086646_2891,Blenheim_spaniel,train,188.0
549,n02086646_1445,Blenheim_spaniel,train,188.0
550,n02086646_1621,Blenheim_spaniel,train,188.0
551,n02086646_2366,Blenheim_spaniel,train,188.0
552,n02086646_421,Blenheim_spaniel,train,188.0
553,n02086646_2873,Blenheim_spaniel,train,188.0
554,n02086646_3670,Blenheim_spaniel,train,188.0
555,n02086646_4024,Blenheim_spaniel,train,188.0
556,n02086646_637,Blenheim_spaniel,train,188.0
557,n02086646_1747,Blenheim_spaniel,train,188.0
558,n02086646_1246,Blenheim_spaniel,train,188.0
559,n02086646_356,Blenheim_spaniel,train,188.0
560,n02086646_672,Blenheim_spaniel,train,188.0
561,n02086646_3893,Blenheim_spaniel,train,188.0
562,n02086646_2641,Blenheim_spaniel,train,188.0
563,n02086646_3465,Blenheim_spaniel,train,188.0
564,n02086646_3832,Blenheim_spaniel,train,188.0
565,n02086646_1959,Blenheim_spaniel,train,188.0
566,n02086646_2173,Blenheim_spaniel,train,188.0
567,n02086646_2426,Blenheim_spaniel,train,188.0
568,n02086646_4148,Blenheim_spaniel,train,188.0
569,n02086646_2815,Blenheim_spaniel,train,188.0
570,n02086646_2725,Blenheim_spaniel,train,188.0
571,n02086646_2069,Blenheim_spaniel,train,188.0
572,n02086646_173,Blenheim_spaniel,train,188.0
573,n02086646_981,Blenheim_spaniel,train,188.0
574,n02086646_1342,Blenheim_spaniel,train,188.0
575,n02086646_3466,Blenheim_spaniel,train,188.0
